IBBR - Carteira do Dia 05/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;1,979;1,979;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,880;2,017;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,137;2,017;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,461;1,001;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,540;1,001;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,937;2,418;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,421;2,418;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,060;2,418;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,876;1,876;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,315;0,351;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,036;0,351;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,213;0,213;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,102;0,102;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,095;0,664;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,048;0,664;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,421;0,664;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,100;0,664;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,109;0,109;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,151;0,646;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,214;0,646;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,038;0,646;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,141;0,646;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,102;0,646;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,256;0,256;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,168;1,741;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,384;1,741;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,051;1,741;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,048;1,741;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,090;1,741;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,420;0,894;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,171;0,894;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,303;0,894;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,285;2,285;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,731;15,631;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;2,944;15,631;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  ERJ NM;2.842.496.541;2,075;15,631;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,367;15,631;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,399;15,631;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,776;15,631;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,339;15,631;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,596;1,289;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,298;1,289;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,135;1,289;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,260;1,289;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,655;2,655;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,442;1,467;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,025;1,467;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,167;10,513;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,248;10,513;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;10,098;10,513;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,081;0,081;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,706;1,125;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,156;1,125;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,164;1,125;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,099;1,125;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,450;20,021;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,487;20,021;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,283;20,021;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,539;20,021;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,262;20,021;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON  ATZ NM;462.883.017;0,245;12,996;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,306;12,996;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,313;12,996;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;5,027;12,996;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,096;12,996;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;762.764.253;1,192;12,996;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,020;12,996;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,780;12,996;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,017;12,996;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;329.017.784;0,205;1,092;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.285.713.898;0,887;1,092;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,209;1,498;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,081;1,498;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,208;1,498;
