IBBR - Carteira do Dia 30/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,051;2,051;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,544;1,672;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,128;1,672;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,445;1,004;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,559;1,004;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;2,109;2,648;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,487;2,648;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,052;2,648;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,836;1,836;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,339;0,339;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,225;0,225;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,121;0,121;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,094;0,658;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,048;0,658;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;986.834.705;0,428;0,658;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,088;0,658;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,092;0,092;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,143;0,576;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,193;0,576;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,033;0,576;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,123;0,576;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,084;0,576;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON  EJ  NM;467.471.342;0,251;0,251;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,157;1,611;
Diversos;RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,272;1,611;
Diversos;RENT4;LOCALIZA;PN  EJ  NM;37.577.993;0,047;1,611;
Diversos;VAMO3;VAMOS;ON      NM;448.052.066;0,050;1,611;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,085;1,611;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON  EJ  NM;466.135.796;0,393;0,839;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,163;0,839;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,283;0,839;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,259;2,259;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,694;14,658;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,753;14,658;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,875;14,658;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,189;14,658;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,383;14,658;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,456;14,658;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,308;14,658;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,617;1,304;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,304;1,304;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,126;1,304;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,257;1,304;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,603;2,603;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,439;1,386;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,947;1,386;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,162;10,208;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,232;10,208;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,814;10,208;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,070;0,070;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,667;1,044;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;622.977.444;0,147;1,044;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,131;1,044;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,099;1,044;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;8,912;18,870;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,046;18,870;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,269;18,870;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,525;18,870;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,118;18,870;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,264;16,009;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,268;16,009;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,498;16,009;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;6,344;16,009;
